Line : 1 , Words : 3 , Letters : 33 
Line : 2 , Words : 2 , Letters : 28 
Line : 3 , Words : 3 , Letters : 46 
Line : 4 , Words : 3 , Letters : 41 
Line : 5 , Words : 1 , Letters : 22 
Line : 6 , Words : 1 , Letters : 25 
Line : 7 , Words : 1 , Letters : 10 
Line : 8 , Words : 2 , Letters : 29 
Line : 9 , Words : 3 , Letters : 42 
Line : 10 , Words : 3 , Letters : 34 
Line : 11 , Words : 1 , Letters : 22 
Line : 12 , Words : 1 , Letters : 25 
Line : 13 , Words : 1 , Letters : 10 
Line : 14 , Words : 2 , Letters : 24 
Line : 15 , Words : 3 , Letters : 42 
Line : 16 , Words : 3 , Letters : 33 
Line : 17 , Words : 1 , Letters : 22 
Line : 18 , Words : 1 , Letters : 25 
Line : 19 , Words : 1 , Letters : 10 
Line : 20 , Words : 1 , Letters : 13 
